,app_name,is_malware,num_api,num_uique_npi,num_static,num_virtual,num_direct,num_super,num_interface,num_block
0,Kyview,1,8869,667,4128,1672,1361,5057,658,121
1,Fjcon,1,17678,573,3458,2870,2425,10742,1465,176
2,Koler,1,10148,688,4100,1719,1315,6127,713,274
3,Ksapp,1,18739,774,3280,3692,3303,10205,1378,161
4,FakeAV,1,11480,689,4431,2349,1320,6358,1316,137
5,Boxer,1,14303,170,1841,2634,2224,8477,806,162
6,RuMMS,1,13119,768,4850,2370,2323,7248,798,380
7,Kemoge,1,16107,830,3486,2916,3878,7732,1469,112
8,Youmi,1,18745,819,3031,3375,4701,9752,760,157
9,Andup,1,19717,647,3112,3502,3193,10629,2196,197
10,Gorpo,1,16173,819,3688,3022,3539,8440,1074,98
11,Lotoor,1,17203,504,2397,2975,2520,10316,1289,103
12,SimpleLocker,1,9748,664,3575,1870,1507,5382,813,176
13,FakeDoc,1,11633,402,2126,1945,2090,6139,1336,123
14,DroidKungFu,1,16044,529,2703,2955,3192,8766,931,200
15,GingerMaster,1,21705,520,2853,2628,6703,10770,1484,120
16,FakeInst,1,8208,104,1471,1742,1012,5159,258,37
17,Minimob,1,17661,715,4663,4816,2545,8487,1770,43
18,VikingHorde,1,14961,663,3184,2104,3564,7948,1250,95
19,FakeAngry,1,24665,651,3051,3563,4150,15721,992,239
20,BankBot,1,8594,656,4109,1510,1390,4992,635,67
21,Mtk,1,25929,670,4048,3650,8734,11723,1639,183
22,Microsoft Word Write Edit Share Docs on the Go_v16.0.12430.20120_apkpure.com,0,6537,626,2631,1518,1631,2382,963,43
23,Subway Surfers_v1.114.0_apkpure.com,0,8688,694,3375,1928,1686,3984,970,120
24,Instagram Lite_v67.0.0.0.51_apkpure.com,0,7607,613,2211,1384,1894,3561,750,18
25,Happy Glass_v1.0.47_apkpure.com,0,14421,854,3042,2564,3770,7132,909,46
26,Worms Zone io Voracious Snake_v1.2.9_apkpure.com,0,13832,705,2547,2271,3807,6785,939,30
